,Title,Location,Security,Garage,Concierge,Price,City,Currency,Nmbr_rooms,Nmbr_pieces,Nmbr_bathrooms,Type,Surface
1905,Bel appartement à vendre à Azli. Surface de 56 m². Espace vert,Azli ,1,0,0,320000.0,Marrakech,DH,2,3,1,Bon état,56
1906,Palais arabo mauresque sur 1 ha. Km10. Pas cher,Route de l'Ourika ,0,0,0,9990000.0,Marrakech,DH,6,12,6,Bon état,600
1907,Sublime appart 1 ch à vendre Guéliz,Guéliz ,0,0,0,1450000.0,Marrakech,DH,1,1,1,Bon état,92
1908,Joli appartement à guéliz,Guéliz ,0,0,0,1200000.0,Marrakech,DH,2,3,1,Bon état,75
1909,Bel appartement neuf piscine&palmeraie,Ennakhil (Palmeraie) ,0,0,0,930000.0,Marrakech,DH,2,3,1,Nouveau,73
1910,"Appartement de 79 m² en vente, Orée de la palmeraie",Ennakhil (Palmeraie) ,0,0,0,1066500.0,Marrakech,DH,2,3,2,Nouveau,79
1911,Appartement de 106 m² à Guéliz,Guéliz ,0,0,0,880000.0,Marrakech,DH,2,4,2,Bon état,106
1912,Maison de 100 m² melkia à 15 km de Marrakech,Route de Ouarzazate ,0,0,0,480000.0,Marrakech,DH,5,7,3,Nouveau,100
1914,"Appartement de 74m² et 21m² de cour et balcon, Immeuble 280 Oasis 2",Sanaoubar ,0,0,0,977000.0,Marrakech,DH,2,3,2,Nouveau,95
1915,Appartement de 52m² en vente Dyour Al Masjid,Mhamid ,0,0,0,240000.0,Marrakech,DH,2,3,1,Bon état,52
1917,"Agdal Bel Appartement, de 2 Chs, Rés avec Piscine",Agdal ,0,0,0,2950000.0,Marrakech,DH,2,3,2,Bon état,120
1919,"Appartement de 80m² en vente, Caprice Hivernage",Hivernage ,0,0,1,936000.0,Marrakech,DH,2,3,1,Bon état,80
1920,Maison D’hôte/ Riad Opérationnel à Vendre,Ennakhil (Palmeraie) ,0,0,0,45000000.0,Marrakech,DH,36,6,6,Bon état,18000
1921,Bel Appartement en Vente à Mhamid Marrakech,Mhamid ,0,0,0,320000.0,Marrakech,DH,2,2,1,Bon état,63
1922,Vente bel Ryad dans résidence fermée EDEN PALM,Ennakhil (Palmeraie) ,0,0,0,3000000.0,Marrakech,DH,4,5,3,Bon état,250
1923,Riad par C. Boccara,Route Casablanca ,0,0,0,2600000.0,Marrakech,DH,4,6,4,Bon état,248
1924,Appartements neufs de haut standing,Guéliz ,0,0,0,126000000.0,Marrakech,DH,2,3,2,Nouveau,90
1925,Duplex atyco coeur gueliz,Guéliz ,0,0,0,1900000.0,Marrakech,DH,3,4,2,Bon état,100
1926,"Riad d, 'excellente facture Kasbah",Marrakech,0,0,0,2500000.0,Marrakech,DH,4,3,4,Bon état,150
1927,Appartement Luxe 256 m2 dont terrasse 100m2,Guéliz ,0,0,0,4730000.0,Marrakech,DH,2,4,2,Bon état,256
1929,Belle villa contemporaine dans petite copropriété,Route de l'Ourika ,0,0,0,6500000.0,Marrakech,DH,3,3,4,Bon état,350
1931,Mise en vente belles villas dans résidence fermée,Route de Ouarzazate ,1,0,0,2300000.0,Marrakech,DH,4,5,3,Bon état,264
1932,"Guéliz, vente appartement Haut standing de 3 pièce",Guéliz ,0,0,0,1250000.0,Marrakech,DH,2,3,1,Nouveau,83
1933,Vente villa contemporaine route de Amizmiz,Route Amizmiz ,0,0,0,4800000.0,Marrakech,DH,4,6,4,Nouveau,1000
1934,Duplex à vendre à Guéliz. Surface totale 114 m². Avec ascenseur et terrasse,Guéliz ,0,0,0,920000.0,Marrakech,DH,3,4,2,Nouveau,114
1935,Appartement a vendre hay izdihar,Hay Alfadl ,0,0,0,890000.0,Marrakech,DH,2,3,2,Nouveau,81
1936,Maison neuve de plain pied en vente proche du Golf Royal Palm,Marrakech,0,0,0,3900000.0,Marrakech,DH,4,4,4,Bon état,258
1937,Bel appartement deux chambres AIN MEZOUAR,Ain Mezouar ,0,0,0,550000.0,Marrakech,DH,2,3,2,Bon état,85
1938,Top affaire magnifique villa a vendre a Agdal marrakech,Route Amizmiz ,0,0,0,2990000.0,Marrakech,DH,3,4,3,Nouveau,250
1939,Top affaire vente appartement palmeraie marrakech,Ennakhil (Palmeraie) ,0,0,0,924000.0,Marrakech,DH,1,2,1,Bon état,126
1940,Top affaire villa riad a vendre sur la rote de casa,Route Casablanca ,0,0,0,4200000.0,Marrakech,DH,4,6,4,Bon état,100
1941,Opportunité a saisir trés bel appartement a vendre agdal marrakech,Agdal ,0,0,0,1540000.0,Marrakech,DH,3,4,3,Bon état,95
1942,Magnifique appartement a vendre,Route de l'Ourika ,0,0,0,1600000.0,Marrakech,DH,2,3,2,Bon état,95
1943,Top affaire vente villa sur la route de fes,Route de Fez ,0,0,0,2850000.0,Marrakech,DH,3,4,3,Bon état,1000
1944,Top affaire vente villa sur la route d'amzmiz,Route Amizmiz ,0,0,0,3500000.0,Marrakech,DH,3,4,3,Bon état,470
1945,Top affaire vente villa sur la route d'amazmiz,Route Amizmiz ,0,0,0,3850000.0,Marrakech,DH,3,4,3,Nouveau,300
1946,Top affaire vente villa sur la route de lourika,Route de l'Ourika ,0,0,0,2950000.0,Marrakech,DH,3,4,3,Bon état,231
1947,Exclusivite villa 3 chambres/piscine pas de fa,Ennakhil (Palmeraie) ,0,0,0,3800000.0,Marrakech,DH,3,4,3,Bon état,260
1948,Superbe appartement à vendre à Route Casablanca. 2 grandes pièces. Bien meublé,Route Casablanca ,0,0,0,620000.0,Marrakech,DH,1,2,1,Bon état,56
1949,Riad de 6 chambres et piscine à douar graoua,Kennaria ,0,0,0,4700000.0,Marrakech,DH,6,9,6,Nouveau,133
1950,Boutique hotel top rentable / piscine,Kaat Ben Nahid ,0,0,0,6870000.0,Marrakech,DH,12,14,9,Bon état,356
1951,Vente d'un bel appartement à Hivernage. Surface de 160 m². Meublé,Hivernage ,0,0,0,,Marrakech,,2,4,2,Bon état,160
1955,Luxueuse villa en vente face a l’atlas a Marrakech copie,Marrakech,0,0,0,6000000.0,Marrakech,DH,5,5,5,Bon état,400
1957,Agence immobilière Marrakech: Maison moderne à vendre,Marrakech,0,0,0,7500000.0,Marrakech,DH,6,6,6,Bon état,500
1958,Golf Samanah Marrakech Maison en Vente,Marrakech,0,0,0,4900000.0,Marrakech,DH,3,3,3,Bon état,200
1960,Agence immobilière Marrakech – Maison moderne à vendre copie,Hivernage ,0,0,0,5200000.0,Marrakech,DH,4,4,3,Bon état,340
1961,Appartement à vendre à Marrakech,Marrakech,0,0,0,6200000.0,Marrakech,DH,3,3,3,Bon état,380
1962,Appartement en vente a plaza gueliz marrakech,Guéliz ,0,0,0,1900000.0,Marrakech,DH,1,3,1,Bon état,79
1963,Maison Moderne 5 Chambres à vendre à Marrakech,Route de l'Ourika ,0,0,0,5500000.0,Marrakech,DH,5,6,5,Nouveau,1200
1964,Luxueux appartement à vendre à marrakech,Route de Fez ,0,0,0,3700000.0,Marrakech,DH,2,3,2,Nouveau,173
1965,Vente project touristique fonctionnel a marrakech,Route de Fez ,0,0,0,13000000.0,Marrakech,DH,12,16,2,Bon état,16000
1966,Prestigieuse villa en vente a marrakech,Hay Targa ,0,0,0,7800000.0,Marrakech,DH,5,6,5,Nouveau,470
1967,"Hivernage, vente superbe appartement de 3 pièces",Hivernage ,0,0,0,3700000.0,Marrakech,DH,2,3,2,Bon état,120
1968,Appartement a vendre,Hay Mabrouka ,0,0,0,650000.0,Marrakech,DH,2,3,1,Nouveau,61
1970,Magnifique appartement a vendre,Ennakhil (Palmeraie) ,0,0,0,2200000.0,Marrakech,DH,3,3,3,Nouveau,139
1971,Top affaire magnifique appartement a vendre gueliz marrakech,Guéliz ,0,0,0,1755000.0,Marrakech,DH,2,3,2,Bon état,117
1972,Top affaire vente villa sur golf sur la route de l'ourika,Route de l'Ourika ,0,0,0,2500000.0,Marrakech,DH,3,4,2,Bon état,115
1973,Top affaire magnifique appartement duplexe a vendre,Guéliz ,0,0,0,1764000.0,Marrakech,DH,2,3,2,Bon état,126
1974,Superbe villa plein pieds a vendre sur la route de ourzazate,Route de Ouarzazate ,0,0,0,6500000.0,Marrakech,DH,5,7,4,Bon état,750
1975,Top affaire villa a vendre palmeraie marrakech,Ennakhil (Palmeraie) ,0,0,0,2700000.0,Marrakech,DH,3,4,3,Bon état,346
1976,Bel appartement 142m,Route Casablanca ,0,0,0,950000.0,Marrakech,DH,3,4,2,Bon état,142
1977,Petite villa plus magasin,Route de Safi ,0,0,0,1370000.0,Marrakech,DH,5,7,4,Bon état,100
1980,Des appartements a vendre,Hay Zitoun ,0,0,0,985000.0,Marrakech,DH,2,3,2,Nouveau,90
1984,Bel appartement a ne pas rater guéliz marrakech,Guéliz ,0,0,0,550000.0,Marrakech,DH,1,2,1,Bon état,52
1985,Magnifique villa à vendre à Marrakech. 4 belles chambres. Piscine et air conditionné,Les Portes de Marrakech ,0,0,0,1900000.0,Marrakech,DH,4,6,4,Bon état,245
1987,"Duplex de 77m² en vente, Résidence Bab 88",Camp Al Ghoul ,0,0,0,924000.0,Marrakech,DH,2,2,1,Nouveau,77
1989,Appartement économique de 56m² en vente Résidence Rim,Azzouzia ,0,0,0,250000.0,Marrakech,DH,2,3,1,Nouveau,56
1993,"Appartement de 52m² dont 6m² de balcon en vente, Honest Signature",Guéliz ,0,0,0,884000.0,Marrakech,DH,1,2,1,Bon état,52
1994,3 pièces de standing / résidence avec piscine,Hay Mabrouka ,0,0,0,900000.0,Marrakech,DH,2,3,2,Bon état,90
1996,"Appartement de 82m² en vente, Dar Dmana",Ennakhil (Palmeraie) ,0,0,0,924000.0,Marrakech,DH,1,2,1,Bon état,82
1997,"Prestigia, vente bel appart au rez de jardin",Bab Ighli ,0,0,0,2200000.0,Marrakech,DH,2,3,2,Bon état,158
1999,Très belle Propriété à 20 minutes du centre ville et à moins de 10 minutes en voiture de trois des plus prestigieux golfs du Maroc,Marrakech,0,0,0,,Marrakech,,7,11,2,Bon état,100
2000,Très bel Appartement en rez de jardin situé au sein d’une résidence sécurisée et familiale,Agdal ,0,0,0,2530000.0,Marrakech,DH,2,5,2,Bon état,141
2003,Magnifiques appartements de très haut standing situés à Victor Hugo et proches de toutes commodités,Marrakech,0,0,0,1628000.0,Marrakech,DH,2,4,1,Bon état,130
2005,Luxueuse Propriété de style contemporain Sise sur un terrain d'un hectare superbement paysagé,Marrakech,0,0,0,14300000.0,Marrakech,DH,6,11,2,Bon état,800
2006,Beau Duplex doté de grandes terrasses situé au 2ème étage d’une très belle résidence de haut standing,Agdal ,0,0,0,3630000.0,Marrakech,DH,3,5,2,Bon état,263
2010,Sublime appartement très ensoleillé au sein d'une magnifique résidence,Hivernage ,0,0,0,6215000.0,Marrakech,DH,3,4,2,Bon état,202
2011,Maison d'hôtes de grand standing se situant sur des collines au pied du grand Atlas,Route Amizmiz ,0,0,0,19800000.0,Marrakech,DH,14,19,2,Bon état,1546
2013,Duplex à vendre,Guéliz ,0,0,0,2600000.0,Marrakech,DH,3,9,4,Nouveau,200
2015,Une très belle villa moderne à vendre,Agdal ,0,0,0,4200000.0,Marrakech,DH,4,6,3,Nouveau,670
2016,Maison a vendre hivernage plein centre de la ville,Hivernage ,0,0,0,2600000.0,Marrakech,DH,4,10,2,Bon état,125
2017,Demeure de luxe été Palais d'hôtes,Route de l'Ourika ,0,0,0,35000000.0,Marrakech,DH,1,1,10,Bon état,15070
2018,"Appartement de 127m² en vente, Orée de la palmeraie",Ennakhil (Palmeraie) ,0,0,0,1651000.0,Marrakech,DH,3,4,2,Nouveau,127
2024,"Projet d’un complexe touristique, hôtelier haut de gamme ou pour un particulier",Route Amizmiz ,0,0,0,31757000.0,Marrakech,DH,16,3,2,Bon état,3200
2027,Magnifique Propriété en excellente situation géographique dans le circuit de la Palmeraie,Marrakech,0,0,0,36300000.0,Marrakech,DH,6,10,2,Bon état,700
2030,Magnifique Maison d'hôtes composée de deux Riads,Marrakech,0,0,0,9350000.0,Marrakech,DH,9,15,5,Bon état,100
2035,Bel appartement en rez de jardin au sein d’une résidence familiale avec piscine,Agdal ,0,0,0,3080000.0,Marrakech,DH,3,4,1,Bon état,141
2036,Très bel appartement de très haut standing à l'hivernage,Hivernage ,0,0,0,5115000.0,Marrakech,DH,3,5,2,Bon état,161
2038,Riad de charme idéalement situé dans le quartier le plus touristique et sécurisé de la Médina,Marrakech,0,0,0,7590000.0,Marrakech,DH,8,8,2,Bon état,300
2039,Joli appartement non meublé avec ascenseur au 4ème étage d’une résidence sécurisée,Route Casablanca ,0,0,0,,Marrakech,,2,3,1,Bon état,93
2041,Beaux appartements vendu ensemble avec terrasse & proche de toutes commodités à Victor Hugo,Marrakech,0,0,0,4290000.0,Marrakech,DH,6,9,3,Bon état,300
2042,Bel appartement non meublé situé au 4ème étage avec ascenseur au sein d’une calme résidence sécurisée,Guéliz ,0,0,0,979000.0,Marrakech,DH,2,3,1,Bon état,87
2045,Belle villa à vendre à Quick Targa,Route d'Agadir - Essaouira ,0,0,0,6200000.0,Marrakech,DH,5,9,7,Nouveau,550
2046,Belle villa à vendre avec VNA route de Fez 12 km Marrakech,Route de Fez ,0,0,0,5200000.0,Marrakech,DH,5,7,5,Bon état,10000
2047,Belle villa à vendre a Golf Kenza Marrakech,Route de l'Ourika ,0,0,0,3350000.0,Marrakech,DH,5,9,3,Bon état,370
2048,Vente villa de luxe à la Palmeraie,Ennakhil (Palmeraie) ,0,0,0,2800000.0,Marrakech,DH,3,3,2,Bon état,400
2049,Magnifique riad renove maison d'hotes marrakech,Guéliz ,0,0,0,4650000.0,Marrakech,DH,5,10,5,Bon état,286
2051,Appartement a vendre a daoui mhamid marrakech,Mhamid ,0,0,0,685000.0,Marrakech,DH,3,4,2,Nouveau,92
2052,Marrakech I Route d'Amizmiz,Marrakech,0,0,0,,Marrakech,,4,7,5,Nouveau,512
2057,Bel appartement lumineux au 2ème étage d’une des plus belles résidences de Marrakech,Agdal ,0,0,0,3465000.0,Marrakech,DH,3,5,1,Bon état,142
2058,Beau Riad de style traditionnel au sein de la Médina,Marrakech,0,0,0,6820000.0,Marrakech,DH,5,7,2,Bon état,290
2059,"Appartement duplex Lumineux de 227m², 4 chambres, Hivernage",Hivernage ,0,0,0,3200000.0,Marrakech,DH,4,5,4,Nouveau,227
2061,Superbe villa a vendre à Targa Marrakech,Route d'Agadir - Essaouira ,0,0,0,3600000.0,Marrakech,DH,7,10,4,Nouveau,374
2062,Appartement a vendre sur azouzia,Azzouzia ,0,0,1,650000.0,Marrakech,DH,3,5,2,Bon état,108
2063,Magnifique appartement a gueliz,Guéliz ,0,0,0,686000.0,Marrakech,DH,2,5,1,Bon état,98
2064,Belle villa à vendre,Hay Targa ,0,0,0,2800000.0,Marrakech,DH,6,7,5,Bon état,400
2066,Achetez votre appartement de rêves à Marrakech,Hay Targa ,0,0,0,1410000.0,Marrakech,DH,2,3,2,Nouveau,115
2067,Jolie villa vue Atlas,Route de Ouarzazate ,0,0,0,1420000.0,Marrakech,DH,3,4,2,Bon état,695
2068,"Appartement Rue Ibn Aicha, Guéliz, Marrakech",Guéliz ,0,0,0,850000.0,Marrakech,DH,2,3,1,Bon état,81
2069,Top affaire appartement palmeraie avec jardin,Ennakhil (Palmeraie) ,1,0,0,820000.0,Marrakech,DH,1,2,1,Bon état,75
2070,Vente villa moderne sur la route de warzazte,Route de Ouarzazate ,0,0,0,9700000.0,Marrakech,DH,7,9,8,Nouveau,1100
2071,"Appartement de 89m² en vente, Orée de la palmeraie",Ennakhil (Palmeraie) ,0,0,0,1157000.0,Marrakech,DH,2,4,2,Nouveau,89
2073,"Très bon emplacement, a coté d'hôtel al Kabir",Guéliz ,0,0,0,1200000.0,Marrakech,DH,2,4,2,Bon état,99
2074,Appartement de 85m en vente à Gueliz,Guéliz ,0,0,0,1000000.0,Marrakech,DH,2,3,1,Bon état,85
2076,Appartement a vendre a Palmeraie,Ennakhil (Palmeraie) ,0,0,0,1300000.0,Marrakech,DH,2,3,1,Bon état,104
2077,Riad rénové et titré en vente centre médina,Mouassine ,0,0,0,2800000.0,Marrakech,DH,5,8,3,Bon état,280
2078,Marrakech I Palmeraie,Assif ,0,0,0,,Marrakech,,5,5,6,Nouveau,950
2079,Vente belle villa de 625 m² sur terrain de 9401 m²,Route Amizmiz ,0,0,0,7000000.0,Marrakech,DH,5,10,6,Bon état,625
2081,"Vente Appt à Hay Massira I, de 57m²",Massira 1 ,0,0,1,370000.0,Marrakech,DH,1,3,1,Bon état,57
2082,Riad Luxueux,Marrakech,0,0,0,4200000.0,Marrakech,DH,4,7,4,Bon état,145
2083,"Superbe duplex en vente 115m2, Route de casa",Route Casablanca ,0,0,0,1600000.0,Marrakech,DH,2,3,2,Bon état,115
2084,Golf Amelkis Marrakech Maison en Vente,Amelkis ,0,0,0,12900000.0,Marrakech,DH,5,5,5,Bon état,750
2085,Maison à vendre au golf de Amelkis Marrakech à l 'architecture marocaine,Amelkis ,0,0,0,5500000.0,Marrakech,DH,4,4,4,Bon état,350
2086,Appartement à Rouidate avec ascenseur,Daoudiat ,0,0,0,780000.0,Marrakech,DH,2,3,1,Bon état,119
2087,Opportunité à Saisir Riad en vente,Route Amizmiz ,0,0,0,1200000.0,Marrakech,DH,6,10,4,À rénover,700
2089,Tres jolie villa au centre ville,Route d'Agadir - Essaouira ,0,0,0,3400000.0,Marrakech,DH,6,9,4,Bon état,360
2090,Appartement de 64m² en vente,Daoudiat ,0,0,0,660000.0,Marrakech,DH,2,3,1,Nouveau,64
2095,Sublime Riad 7 suites dans la médina à vendre,Sidi Mansour ,0,0,0,14500000.0,Marrakech,DH,7,9,7,Bon état,1300
2096,Riad 4 chambres avec sdb – Bassin – Volumes et lumière,Majorelle ,0,0,0,4100000.0,Marrakech,DH,4,9,4,Bon état,230
2097,À vendre beau apt titré proche jardins majorelle,Majorelle ,0,0,0,920000.0,Marrakech,DH,3,4,2,Bon état,115
2098,Vente Maison Proche Fairmont Royal Palm Marrakech,Marrakech,0,0,0,16500000.0,Marrakech,DH,7,7,7,Bon état,800
2099,Somptueuse maison à vendre à Route de Tahanaout. 5 pièces confortables. Porte blindée et système de double vitrage,Route de Tahanaout ,0,0,0,7500000.0,Marrakech,DH,4,5,3,Nouveau,601
2100,Résidence Salma 2 zhor targa Marrakech,Route de Safi ,1,0,0,300000.0,Marrakech,DH,2,3,1,Nouveau,50
2101,Superbe villa semi fini phase avancé de finition,Route de Tahanaout ,0,0,0,3850000.0,Marrakech,DH,5,5,6,Nouveau,400
2102,Maison à l'achat à Mhamid. 8 belles chambres. Chauffage central et porte blindée.,Mhamid ,0,0,0,1100000.0,Marrakech,DH,8,6,5,Bon état,98
2103,Circuit PALMERAIE / jardin PRIVE de 100m2,Ennakhil (Palmeraie) ,0,0,0,1545000.0,Marrakech,DH,2,4,2,Bon état,203
2104,Appartement de 87 m² en vente à Hay Izdihar,Guéliz ,0,0,0,780000.0,Marrakech,DH,2,3,1,Nouveau,87
2105,Maison Style Riad,Kechich ,0,0,0,,Marrakech,,5,6,3,Bon état,80
2106,Appartement a vendre,Route de Tahanaout ,0,0,0,,Marrakech,,2,3,2,Bon état,83
2109,Somptueuse villa à vendre à Guéliz. Superficie 390 m²,Guéliz ,0,0,0,,Marrakech,,5,7,4,Bon état,390
2110,Appartement à vendre 84m à Marrakech,Guéliz ,0,0,0,,Marrakech,,2,3,2,Bon état,84
2111,Sompteuse villa sur golf en vente a Marrakech copie,Marrakech,0,0,0,25000000.0,Marrakech,DH,4,4,4,Bon état,500
2112,Maison à Vendre à Marrakech – Agence Immobilière,Marrakech,0,0,0,12000000.0,Marrakech,DH,7,7,2,Bon état,900
2114,Maison en vente à Marrakech Agence Immobilière copie,Marrakech,0,0,0,17500000.0,Marrakech,DH,6,6,5,Bon état,500
2115,Maison de caractère à vendre au golf Amelkis de Marrakech,Amelkis ,0,0,0,18500000.0,Marrakech,DH,5,5,5,Bon état,600
2116,Magnifique villa en plein vue le golf,Route de l'Ourika ,0,0,0,2900000.0,Marrakech,DH,3,3,3,Nouveau,200
2119,Grand riad maison d'hôtes de 9 chambres en vente,Arset El Maach ,0,0,0,3150000.0,Marrakech,DH,9,10,9,Nouveau,400
2120,A vendre superbe villa 3 suites,Route de Fez ,0,0,0,3700000.0,Marrakech,DH,3,10,3,Bon état,1200
2124,Appartement 128m² hors terrasse palmeraie,Ennakhil (Palmeraie) ,0,0,0,1490000.0,Marrakech,DH,2,3,2,Bon état,128
2125,Magnifique villa 4 suites Palmeraie,Ennakhil (Palmeraie) ,0,0,0,6500000.0,Marrakech,DH,4,6,4,Bon état,680
2128,Riad zawiya abbasia marrakech,Derb Chtouka ,0,0,0,1600000.0,Marrakech,DH,5,6,2,Bon état,134
2129,"Riad en vente Melkia, Kasbah Marrakech",Moulay Lyazid ,0,0,0,2000000.0,Marrakech,DH,8,9,2,Bon état,240
2130,Duplex a proximité de Victor Hugo,Camp Al Ghoul ,0,0,0,1815600.0,Marrakech,DH,3,4,3,Nouveau,204
2131,Bel appartement à vendre à Marrakech,Majorelle ,0,0,0,1600000.0,Marrakech,DH,2,3,2,Bon état,105
2133,Vente Bel appartement à guéliz,Guéliz ,0,0,0,1450000.0,Marrakech,DH,2,4,2,Nouveau,85
2134,Magnifique appartement a gueliz,Guéliz ,0,0,0,950000.0,Marrakech,DH,2,6,1,Bon état,76
2135,"Appartement de 67 m2 en 1er etage, bien entretenu",Hay Annahda ,0,0,0,350000.0,Marrakech,DH,2,3,1,Bon état,67
2136,Vend appartement à Agdal. Surface de 194 m²,Agdal ,0,0,0,3600000.0,Marrakech,DH,3,4,2,Nouveau,194
2137,Magnifique Duplex à Majorelle pour la vente,Majorelle ,0,0,0,985875.0,Marrakech,DH,2,3,2,À rénover,132
2138,Achetez votre appartement de rêves à Marrakech,Agdal ,0,0,0,710000.0,Marrakech,DH,1,2,1,Nouveau,58
2139,Superbe appartement à vendre au cœur de Guéliz,Guéliz ,0,0,0,1166000.0,Marrakech,DH,2,3,2,Bon état,106
2140,"Appartement RDJ de 109m² en vente, Atlas Darna",Riad Al Atlas ,0,0,0,1346150.0,Marrakech,DH,2,3,1,Nouveau,109
2141,Appartement à l'achat à Guéliz. 3 pièces confortables,Guéliz ,0,0,0,850000.0,Marrakech,DH,2,3,2,Bon état,80
2142,Duplex a vendre Marrakech route de Fès,Route de Fez ,0,0,0,1800000.0,Marrakech,DH,2,3,2,Bon état,150
2143,Sublime villa à vendre,Route de Tahanaout ,0,0,0,15000000.0,Marrakech,DH,5,6,5,Bon état,1500
2144,Superbe villa meublée à vendre à la Targa,Route d'Agadir - Essaouira ,0,0,0,11000000.0,Marrakech,DH,5,9,4,Nouveau,600
2145,Appartement moyen standing de 120m² en vente Résidence Rim,Azzouzia ,0,0,0,,Marrakech,,3,4,2,Nouveau,120
2146,Appartement neuf by RIVA de très haut standing Victor Hugo,Camp Al Ghoul ,0,0,0,3150000.0,Marrakech,DH,2,4,3,Nouveau,144
2147,Appartement lumineux neuf by RIVA de haut standing,Guéliz ,0,0,0,3860000.0,Marrakech,DH,3,4,4,Nouveau,184
2148,Appartement neuf by RIVA de très haut standing,Guéliz ,0,0,0,2430000.0,Marrakech,DH,2,3,3,Nouveau,135
2149,Luxury villa de 1 Hectare Marrakech,Route de Fez ,0,0,0,12500000.0,Marrakech,DH,6,15,8,Bon état,10000
2150,Appartement de 83m² en vente Riad Al Ghizlane,Route Casablanca ,0,0,0,886500.0,Marrakech,DH,2,3,1,Nouveau,83
2151,"Vente villa neuve plus piscine, route de ourika",Route de l'Ourika ,0,0,0,3200000.0,Marrakech,DH,4,6,3,Nouveau,400
2152,Appartement vente vide,Guéliz ,0,0,0,720000.0,Marrakech,DH,2,3,1,Bon état,60
2153,Appartement pres de Victor Hugo,Camp Al Ghoul ,0,0,0,2082600.0,Marrakech,DH,3,5,2,Nouveau,234
2154,Belle villa à vendre,Route de l'Ourika ,0,0,0,5500000.0,Marrakech,DH,4,5,4,Bon état,1275
2156,Jolie villa meublée située à la palmeraie,Ennakhil (Palmeraie) ,0,0,0,6300000.0,Marrakech,DH,2,6,2,Bon état,350
2157,"Appartement en Vente 120m2, la palmeraie",Ennakhil (Palmeraie) ,0,0,0,1300000.0,Marrakech,DH,2,3,1,Bon état,120
2158,"Superbe duplex en vente 137m2, Route de Fès",Route de Fez ,0,0,0,1800000.0,Marrakech,DH,2,3,2,Bon état,137
2160,Magnifique appartement trois chambre à l'agdal,Agdal ,0,0,0,3100000.0,Marrakech,DH,3,4,2,Bon état,160
2161,Nouveau Riad à vendre Maison d'artiste,Sidi Mimoun ,0,0,0,2600000.0,Marrakech,DH,2,3,2,Nouveau,70
2162,Riad Titré à rénover de grand potentiel à vendre,Rmila ,0,0,0,1800000.0,Marrakech,DH,5,6,2,À rénover,107
2163,Beau Riad Maison D'hote en vente a Riad Larousse,Rmila ,0,0,0,3500000.0,Marrakech,DH,5,6,5,Bon état,128
2164,Confortable maison d’hôtes 5 chambres a vendre,Sidi Bou Amar ,0,0,0,2700000.0,Marrakech,DH,5,6,5,Bon état,115
2165,Exceptionnelle Maison D'hôte à vendre,Sidi Bou Amar ,0,0,0,,Marrakech,,5,8,5,Bon état,180
2166,Riad lumineux à vendre à Dar el Bacha,Rmila ,0,0,0,,Marrakech,,3,3,3,Nouveau,62
2167,"Hivernage Appartements hauts standing, Terrasse",Hivernage ,0,0,0,,Marrakech,,2,3,2,Nouveau,108
2169,"Appartement de 126 m² en vente, Orée de la palmeraie",Ennakhil (Palmeraie) ,0,0,0,1638000.0,Marrakech,DH,3,5,3,Nouveau,126
2170,"Appartement de 51m² en vente, Résidence Assafaa Bayt 2",Issil ,0,0,0,,Marrakech,,2,3,1,Bon état,51
2171,Top lumineux / 3 facades / terrasses sur verdure,Hivernage ,0,0,0,2800000.0,Marrakech,DH,3,5,3,Nouveau,178
2173,"Vend appartement à Camp Al Ghoul. 2 belles chambres. Porte blindée, antenne parabolique",Camp Al Ghoul ,0,0,0,930000.0,Marrakech,DH,2,3,1,Bon état,78
2174,Somptueuse maison à vendre à Route Casablanca,Route Casablanca ,0,0,0,1200000.0,Marrakech,DH,3,3,1,Bon état,400
2177,Vend appartement à Guéliz. Superficie 53 m². Avec ascenseur et terrasse,Guéliz ,1,0,0,8000000.0,Marrakech,DH,2,2,2,Bon état,53
2178,Appartement de 89m² en vente Riad Al Ghizlane,Route Casablanca ,0,0,0,1020700.0,Marrakech,DH,2,3,1,Nouveau,89
2179,"Bel appartement à vendre, Route de casa",Route Casablanca ,0,0,0,970000.0,Marrakech,DH,2,3,1,Bon état,83
2180,Appartement au RDC de 89m² en vente Riad Al Ghizlane,Route Casablanca ,0,0,0,1059300.0,Marrakech,DH,2,3,1,Nouveau,89
2182,Agence immobilière Marrakech: Maison neuve à vendre sur la route de l’Ourika,Marrakech,0,0,0,5150000.0,Marrakech,DH,4,4,4,Bon état,315
2183,Appartement a vendre charaf,Sanaoubar ,1,0,0,1400000.0,Marrakech,DH,4,6,2,Bon état,182
2184,Superbe appartement de ht standing Semlalia Gueliz,Samlalia ,0,0,0,1850000.0,Marrakech,DH,3,4,2,Bon état,132
2186,Appartement a vendre,Route Casablanca ,0,0,0,750000.0,Marrakech,DH,1,1,1,Bon état,61
2187,Duplex avec piscine privée,Guéliz ,0,0,0,3150000.0,Marrakech,DH,3,1,2,Bon état,200
2189,Appartement à vendre sur agdal,Agdal ,0,0,0,1800000.0,Marrakech,DH,2,1,2,Bon état,144
2190,Maison R3 murs et 3 fonds à Mhamid,Mhamid ,0,0,0,2900000.0,Marrakech,DH,6,10,3,Bon état,590
2191,Riad à la vente à Riad Zitoun. 2 grandes pièces,Riad Zitoun ,0,0,0,1800000.0,Marrakech,DH,7,2,2,Bon état,265
