,Title,Location,Security,Garage,Concierge,Price,City,Currency,Nmbr_rooms,Nmbr_pieces,Nmbr_bathrooms,Type,Surface
76,Vente Appartement Rabat Souissi,Souissi ,0,0,0,4900000.0,Rabat,DH,3,5,1,Bon état,204
77,Vente Appartement Rabat Hay Riad Prestigia,Riyad ,0,0,0,3100000.0,Rabat,DH,3,6,1,Bon état,181
78,Vente Appartement Rabat Agdal,Agdal ,0,0,0,2500000.0,Rabat,DH,3,5,1,Bon état,171
81,Vente Appartement Rabat Bas Agdal,Agdal ,0,0,0,850000.0,Rabat,DH,1,2,1,Bon état,34
82,Tres joli rez de jardin a saisir a prix imbattable,Riyad ,0,0,0,4100000.0,Rabat,DH,4,3,4,Bon état,260
83,Magnifique villa au coeur du Souissi,Souissi ,0,0,0,14500000.0,Rabat,DH,6,9,5,Bon état,2090
85,Vente villa sur une grande avenue à Hay Riad,Riyad ,0,0,0,8500000.0,Rabat,DH,4,7,4,Bon état,620
86,"Coquette villa à vendre à Riyad. 2 fac, 4 chambres. Habitable de suite, prix à saisir. De 695u",Riyad ,0,0,0,6950000.0,Rabat,DH,4,7,3,Nouveau,318
91,Une belle appartement en vente Haut standing ensoleillée toute la journée,Riyad ,0,0,0,,Rabat,,4,6,3,Nouveau,206
92,Magnifique villa à vendre à Rabat. Souissi,Souissi ,0,0,0,,Rabat,,6,8,4,Bon état,2000
94,Vente villa de luxe à Hay Riyad,Riyad ,0,0,0,5700000.0,Rabat,DH,5,8,4,Nouveau,215
95,Maison de luxe à vendre àhayriad 950m,Riyad ,0,0,0,8000000.0,Rabat,DH,5,7,4,Bon état,950
98,Appartement à vendre sur hayriad proche mahj riad,Riyad ,0,0,0,,Rabat,,3,4,2,Bon état,123
99,Vente Appartement Rabat Souissi Orangeraie,Souissi ,0,0,0,4000000.0,Rabat,DH,3,5,1,Bon état,145
100,Vente Appartement Rabat Hay Riad Prestigia,Riyad ,0,0,0,2650000.0,Rabat,DH,2,4,1,Bon état,183
106,Vente Appartement Rabat Hay Riad Prestigia,Riyad ,0,0,0,3700000.0,Rabat,DH,3,6,1,Bon état,189
107,À vendre Appartement,Agdal ,0,0,0,2000000.0,Rabat,DH,2,4,2,Bon état,103
108,Vente d'un bel appartement à Riyad. 3 chambres agréables. Ascenseur et stationnement,Riyad ,0,0,0,3700000.0,Rabat,DH,3,4,2,Bon état,190
109,"Appartement en vente à Riyad. Surface de 130 m². Résidence avec concierge, climatisation générale",Riyad ,0,0,0,2450000.0,Rabat,DH,1,3,2,Bon état,130
110,Vente App 3ch à Prestigia Hay Riad,Riyad ,0,0,0,3100000.0,Rabat,DH,3,4,3,Nouveau,170
111,Appartement à l'achat à Riyad. 7 pièces confortables. Ascenseur et terrasse,Riyad ,0,0,0,4200000.0,Rabat,DH,4,7,3,Nouveau,250
112,Appartement en vente,Rabat,0,0,0,1200000.0,Rabat,DH,1,2,1,Bon état,38
113,App 137m2 à l’Orangeraie Souissi,Souissi ,0,0,0,2900000.0,Rabat,DH,2,3,3,Nouveau,137
114,Appart 4p neuf en haut agdal,Agdal ,0,0,0,3700000.0,Rabat,DH,3,4,3,Nouveau,235
115,Appartement de 102m² à rabat hassan,Hassan - Centre Ville ,0,0,0,1480000.0,Rabat,DH,2,3,2,Nouveau,102
116,Appartement à vendre,Riyad Extension ,0,0,0,2400000.0,Rabat,DH,3,4,2,Bon état,113
117,Appartement à vendre à l’Agdal,Agdal ,0,0,0,,Rabat,,4,6,2,Bon état,196
118,Appartement à vendre,Agdal ,0,0,0,3600000.0,Rabat,DH,3,6,2,Bon état,192
120,Maison au quartie G5,Hay Al Amal ,0,0,0,1900000.0,Rabat,DH,7,10,4,À rénover,240
121,Appartement bijoux à prestigia Hay riad,Riyad ,0,0,0,3300000.0,Rabat,DH,3,6,3,Nouveau,168
122,Un très joli appartement au secteur 17,Riyad ,0,0,0,2800000.0,Rabat,DH,4,5,3,Bon état,166
123,Bel appartement au sect 17 à cote la grialladiere,Riyad ,0,0,0,3200000.0,Rabat,DH,3,7,3,Bon état,180
125,Joli appartement secteur 23,Riyad ,0,0,0,2670000.0,Rabat,DH,3,6,4,Nouveau,142
126,Appartement moderne à prestigia,Riyad ,0,0,0,3100000.0,Rabat,DH,3,6,4,Nouveau,167
127,Appartement au RDC prestigia,Riyad ,0,0,0,2350000.0,Rabat,DH,3,6,4,Nouveau,109
128,Coquette appartement avec piscine prestigia,Riyad ,0,0,0,3500000.0,Rabat,DH,3,6,4,Nouveau,174
129,Un très bel appartement à guich oudaya,Guich Oudaya ,0,0,0,1500000.0,Rabat,DH,3,4,2,Nouveau,115
130,Une villa luxueuse à Hay Nahda,Hay Nahda ,0,0,0,5100000.0,Rabat,DH,6,10,4,Bon état,560
131,Bel Appartement Meublé en Vente à Hay Nahda Rabat,Hay Nahda ,0,0,0,2272500.0,Rabat,DH,2,3,1,Bon état,101
132,Vente Penthouse Rabat Souissi Orangeraie,Souissi ,0,0,0,8000000.0,Rabat,DH,4,7,1,Bon état,370
133,Magnifique appartement à vendre à Mahaj Riad,Riyad ,0,0,0,5500000.0,Rabat,DH,3,6,3,Bon état,243
136,Vente villa de luxe à Souissi,Souissi ,0,0,0,15000000.0,Rabat,DH,5,9,4,Nouveau,2000
137,Sublime villa à Vendre Hay Riad,Riyad ,0,0,0,6850000.0,Rabat,DH,4,6,2,Nouveau,318
138,Appartement à vendre,Riyad ,0,0,0,2650000.0,Rabat,DH,3,5,2,Bon état,145
140,Joli Appartement en Vente à Fadeza Rabat,Hay Nahda ,0,0,0,620000.0,Rabat,DH,2,3,1,Bon état,85
142,Vente superbe villa à Souissi,Souissi ,0,0,0,22000000.0,Rabat,DH,4,9,6,Bon état,2000
145,Vente villa exceptionnelle à Souissi,Souissi ,0,0,0,14000000.0,Rabat,DH,5,13,8,Nouveau,933
147,Magnifique villa à vendre à Hassan,Hassan - Centre Ville ,0,0,0,12000000.0,Rabat,DH,4,9,3,Bon état,463
148,Jolie villa à vendre à Souissi,Souissi ,0,0,0,13000000.0,Rabat,DH,4,7,6,Bon état,1900
149,Appartement à vendre à Hay Riad,Riyad ,0,0,0,2600000.0,Rabat,DH,3,4,3,Bon état,130
152,Appartement à vendre à Hay Riad,Riyad ,0,0,0,4800000.0,Rabat,DH,4,5,2,Bon état,237
153,Appartement à vendre à Hay Riad,Riyad ,0,0,0,3400000.0,Rabat,DH,3,5,3,Bon état,152
154,Les deux appartements à vendre à Hay Al Riyadh,Riyad ,0,0,0,2250000.0,Rabat,DH,3,5,3,À rénover,150
155,Vend appartement à Agdal. Superficie 144 m²,Agdal ,0,0,0,2180000.0,Rabat,DH,3,5,2,Bon état,144
157,Appartement à vendre à agdal,Agdal ,0,0,0,2500000.0,Rabat,DH,2,3,2,Bon état,120
158,Appartement a vendre a agdal,Agdal ,0,0,0,1350000.0,Rabat,DH,1,2,2,Nouveau,51
159,Duplex à vendre à prestigia hay riad,Riyad ,0,0,0,4000000.0,Rabat,DH,3,5,3,Bon état,214
160,Appartement à vendre à Agdal. 3 chambres agréables. Ascenseur et stationnement,Agdal ,0,0,0,2000000.0,Rabat,DH,3,4,2,Nouveau,105
162,Appartement en vente à Agdal. 3 chambres. Places de parking et beau jardin,Agdal ,0,0,1,4700000.0,Rabat,DH,3,5,3,Nouveau,256
